station;latitude;longitude
Białobrzegi;52.42382576301246;21.085673447773345
Białogard (stacja kolejowa);54.00899999999999;15.9775
Białogard Miasto;54.010327696105655;15.977637114836071
Białogard Wąskotorowy;54.001999999999995;15.9858
Białogard Wąskotorowy Przystanek;53.998999999999995;15.99
Białowieża Pałac;52.699;23.8457
Białowieża Towarowa;52.687;23.88
Białowieża Wąskotorowa;52.688;23.875
Białośliwie;53.09807042373845;17.125522135427982
Białuń;53.614;14.8407
Białuń Wąskotorowy;53.45;15.1478
Biały Bór;53.886;16.8556
Biały Dunajec;49.376000000000005;20.0077
Biały Dunajec ;49.37614719639267;20.00708080846731
Biały Kamień (przystanek kolejowy);50.794;16.2408
Biały Kościół;50.72836902404603;17.029944251121762
Biały Zdrój Południowy;53.256521167365655;15.954401812368207
Biały Zdrój Północny;53.289590848485034;15.965394085340257
Biały Ług;51.266999999999996;19.338
Białystok;53.13434139552857;23.136497710216712
Białystok Bacieczki;53.15118924766228;23.071578172376245
Białystok Fabryczny;53.14022948603394;23.183826845224882
Białystok Stadion;53.09;23.129
Białystok Starosielce;53.122;23.0851
Białystok Wiadukt;53.11;23.1056
Biecz;49.732;21.2631
Bieczyno Pomorskie;54.095;15.3528
Biedrzychowice-Pasternik;50.902;14.8781
Biel (przystanek kolejowy);52.771;21.9475
Bielany Podlaskie;52.338;22.2319
Bielany Wrocławskie;51.037268770812034;16.976323948037766
Bielawa Dolna (stacja kolejowa);51.286;15.0422
Bielawa Wschodnia;50.696000000000005;16.6356
Bielawa Zachodnia;50.68511980201671;16.605231406664696
Bielawa Zachodnia Dworzec Mały;50.685;16.6069
Bielawy;52.82720021731622;18.01671694851328
Bielawy (przystanek kolejowy);52.826;18.0169
Bielawy Śmigielskie;52.04684;16.460266
Bielewo (przystanek kolejowy);51.9;16.9706
Bielice (przystanek kolejowy);52.236999999999995;19.1264
Bielice Kożuchowskie;51.711000000000006;15.6819
Bielice Parsów;53.208;14.7247
Bielin;52.82289868986541;14.466530925480834
Bieliny Opoczyńskie;51.424;20.5022
Bieliszów (przystanek kolejowy);51.531000000000006;16.4869
Bielkowo;54.26444444;18.503333333
Bielsk Podlaski;52.76143587342503;23.188020502503424
Bielsko Biała Komorowice;49.86147778972207;19.035875247817078
Bielsko Biała Połnoc;49.841585617828024;19.041580976562575
Bielsko Biała Wschód;49.83459427747498;19.058718001356294
Bielsko Biała Zachód;49.839563405283634;19.040697123055594
Bielsko Pomorskie;53.883;17.1336
Bielsko-Biała Aleksandrowice;49.81702005903128;19.004453181515625
Bielsko-Biała Górne;49.82742730393157;19.025319569408236
Bielsko-Biała Główna;49.82979798691374;19.04523257641334
Bielsko-Biała Komorowice;49.86;19.0358
Bielsko-Biała Leszczyny;49.797034345954174;19.060775933202912
Bielsko-Biała Lipnik;49.81416691718444;19.049598207404088
Bielsko-Biała Mikuszowice;49.78286232516322;19.074209927364944
Bielsko-Biała Wapienica;49.81100000000001;18.98
Bielsko-Biała Wschód;49.833999999999996;19.0572
Bieniowice (przystanek kolejowy);51.263000000000005;16.2611
Bieniów;51.71596375597947;15.179387273816225
Bierawa;50.29376082785893;18.25677600353733
Bierkowice;50.4754018070192;16.605420003283154
Biernatki;51.133;16.3624
Biernatowo;52.95721830811539;16.34299008093262
Bierutów;51.12854438997146;17.545769408470722
Bieruń Stary;50.085;19.0928
Bieruń Stary ;50.0865735351104;19.09137220812294
Bieruń Stary - Mleczarnia;50.0931091746904;19.073145744548675
Bieruń Stary Mleczarnia;50.092;19.075
Bierzwnik;53.023877352565115;15.658414374419367
Biesal;53.728993388323715;20.299749575130587
Biesowice;54.19325961432378;16.888030622489232
Biestrzykowice;51.608999999999995;15.3714
Bieńczyce;50.083999999999996;20.0436
Bieżyń (przystanek kolejowy);51.9;16.9706
Binduga;54.012;23.0122
Biniew;51.73988874204676;17.792279426490538
Biniew (stacja kolejowa);51.7;17.7925
Binino;52.640875046125096;16.38047962553976
Biskupice Lubelskie;51.16102020681634;22.947234587713425
Biskupice Oławskie;50.99372930741579;17.51642887548162
Biskupice Wielkopolskie;52.46677491269104;17.16824449360852
Biskupice k. Kluczborka;51.072629072509486;18.210254948959612
Biskupice koło Kluczborka;51.073;18.2102
Biskupie Konińskie;52.376000000000005;18.2544
Biskupiec Pomorski;53.489328101312495;19.389219333450196
Biskupiec Pomorski Miasto;53.504;19.3393
Biskupiec Reszelski;53.8684067173795;20.95669790398329
Biskupin Odcinek;52.79355552331428;17.732224166270527
Biskupin Wieś;52.790196732938306;17.7319565967421
Biskupin Wykopaliska;52.785305469447934;17.743618555921053
Biskupnica;53.655053673253796;17.211737053147647
Biskupów;50.358999999999995;17.3083
Bisztynek;54.086999999999996;20.9203
Biurków (przystanek kolejowy);50.166000000000004;20.1817
Biłgoraj;50.551596438182656;22.732853744582787
Biłgoraj LHS;50.551;22.7344
Biłgoraj Wąskotorowy;50.553000000000004;22.7301
Bińcze;53.66015657253082;17.12930358191411
Blachownia;50.773804679219076;18.969174083148705
Blachownia (zlikwidowana stacja kolejowa);50.784;18.9613
Blizna;53.90636092530332;23.01495022434675
Bliżyn;51.11078936571163;20.75613999930521
Bluszczów;49.98994541056408;18.326344967803152
Bobolice;53.957;16.5957
Bobolice Wąskotorowe;53.956;16.5925
Bobowa;49.71675146338341;20.95770608241384
Bobowa Miasto;49.70829309768297;20.93925977434748
Bobowicko (przystanek kolejowy);52.446999999999996;15.6489
Bobowo Pomorskie;53.88949377247197;18.55687981922229
Bobrowice (stacja kolejowa);51.952;15.0812
Bobrowniki;52.058101876536035;20.010750905879398
Bobrowniki Odrzańskie;51.85554634079664;15.747261764179651
Bobrowo Pomorskie;53.52830527048868;16.077606922799358
Bobry;51.028885618344404;19.40494001346902
Bobrówka (stacja kolejowa);50.049;22.8584
Bobrówko (przystanek kolejowy);52.951;15.4517
Bochnia;49.97729012829436;20.430619392975377
Boczów;52.32667402791147;14.944883998906874
Boczów (stacja kolejowa);52.3267;14.94732
Bodzechów;50.91318318400256;21.435172864495282
Bodzentyn;50.5;20.53
Bodzewko;51.83;17.0614
Bodzewo (przystanek kolejowy);51.848;17.0708
Bogaczewo;54.10018926953613;19.57347464430171
Bogaczów;51.84376954197338;15.267673156726591
Bogatka;54.323;18.7709
Bogatynia;50.912;14.9587
Bogatynia Wąskotorowa;50.907;14.9527
Bogdaniec;52.689134409912064;15.078780182156429
Bogdanów (przystanek kolejowy);51.35262;19.511579
Bogomice (przystanek kolejowy);51.699;16.0331
Bogoniowice Ciężkowice;49.79874579800612;20.976691124540867
Bogoniowice-Ciężkowice;49.798;20.9765
Bogoria;50.5;20.53
Boguchwała;49.98433643888038;21.934646882784637
Bogumiłowice;50.007;20.8702
Bogumiłowice PKP;50.007579901414175;20.872442892551177
Boguszewo;53.42205407065505;19.000524278429626
Boguszyny (przystanek kolejowy);53.082;15.35
Boguszów Gorce;50.397;16.5144
Boguszów Gorce Towarowy;50.74;16.2214
Boguszów Gorce Wschód;50.747;16.2212
Boguszów Gorce Zachód;50.397;16.5144
Boguszów-Gorce Zachód;50.76243731200838;16.167020442085978
Bogusławie (przystanek kolejowy);53.648;14.6539
Bojadła (przystanek kolejowy);51.958;15.8267
Bojanowo;51.69958055;16.745469444
Bojary;53.02729998867454;22.9489508741877
Bojków Górny Wąskotorowy;50.248999999999995;18.6586
Bojków Wąskotorowy;50.253;18.6792
Boksycka;50.95;21.3222
Bolechowo-Osiedle;52.539211515022146;16.979248073915986
Boleszewo;54.372;16.5851
Boleszkowice;52.738580000000006;14.517767
Bolesławice Świdnickie;50.888000000000005;16.464
Bolesławiec;51.2661138169416;15.568845934595142
Bolesławiec Piastów;51.263999999999996;15.5935
Bolesławiec Wschód;51.263000000000005;15.5756
Bolesławowo;54.07;18.4795
Bolków;50.931632654521245;16.109147302522334
Bolęcin;50.122;19.4768
Boniewo (stacja kolejowa);52.474;18.8858
Bonin;54.15;16.2534
Boreczek;50.87880680831017;17.024602457969063
Boreczek Dworzec Mały;50.876999999999995;17.0251
Borek Strzeliński;50.87;17.0639
Borek Szlachecki;49.96650443050014;19.772651390398526
Borek Wielkopolski;51.91952321922468;17.228862916615945
Borki (ładownia);51.5;16.513333333
Borki Opolskie;50.74306529936602;17.881582653702086
Borki Siedleckie;52.2280031;22.28117467
Borki-Kosy;52.08945068906933;22.35779597364903
Borkowice;50.93218144502553;18.156153118217272
Borkowo;54.33296405522836;18.333390175840027
Borkowo Wąskotorowe;54.231;16.5937
Borne Sulinowo;53.585;16.5302
Boronów;50.665309667921115;18.901528190485347
Boroszów (przystanek kolejowy);50.94;18.4312
Borowa Górka;50.246;19.3318
Borowa Oleśnicka;51.184083757666315;17.276116962938737
Borowiany;50.54863950068191;18.637471925805865
Borowiany (przystanek kolejowy);50.542;18.5986
Borowice (przystanek kolejowy);53.67;14.7888
Borowiki;52.48214605502253;23.215493885484108
Borowina;51.828;22.2811
Borowina Kolonia;51.82489555845265;22.26987965772181
Borsukówka;53.22714202652497;22.93104564171018
Borszewice;51.60990542554041;19.0338287360268
Borszewice (przystanek kolejowy);51.6;19.0344
Borszyn Mały (przystanek kolejowy);51.678999999999995;16.6006
Borucice;50.9824056688401;17.554987352403472
Borujsko;53.395;16.1079
Bory;50.178999999999995;19.2839
Borzenica (przystanek kolejowy);53.2;21.98
Borzykowo (przystanek kolejowy);52.205;17.6542
Borzykowo II;52.198;17.6625
Borzym (przystanek kolejowy);53.221000000000004;14.5738
Borzysław;52.19513860687619;16.452968880463146
Borzytuchom (przystanek kolejowy);54.19;17.3557
Borzęciczki (stacja kolejowa);51.833999999999996;17.3364
Borówki (przystanek kolejowy);51.35888888;15.720555555
Boręty (przystanek kolejowy);54.11600000000001;18.8497
Boszkowo;51.96059426620643;16.335743466877233
Botkuny;54.30479153996964;22.36982656571878
Boćwinka (stacja kolejowa);54.218999999999994;22.1472
Boża Wola;52.189976123676644;20.526125431774933
Bożacin;51.73321651538225;17.434005551872904
Bożejewice Polna;52.82278;17.67405
Bożejewiczki (przystanek kolejowy);52.823890000000006;17.693914
Bożejewiczki Polna;52.82252;17.677228
Bożepole Wielkie;54.56884152715337;17.96763953441667
Bożniewice (przystanek kolejowy);53.998000000000005;16.422
Brachlewo;53.80256764857362;18.960990163701148
Brachów;51.097;16.1484
Bralin;51.288999999999994;17.8974
Braniewo;54.381383987599975;19.842010911579504
Braniewo Brama;54.37477888640677;19.815645830168396
Bratian (przystanek kolejowy);53.45223000000001;19.602468
Bratków;51.45528634819674;20.11497310351857
Bratków Zgorzelecki (przystanek kolejowy);50.997201000000004;14.932791
Bratoszewcie;51.93646456369103;19.64669150517558
Bratoszewice;51.93;19.6479
Brennik;51.145;16.3827
Brochocin;51.211999999999996;15.917
Brochocin Trzebnicki;51.27612385021555;17.094157129016182
Brochów;52.314747483232075;20.284225047104744
Broczyno (przystanek kolejowy);53.53;16.3064
Brodek (przystanek kolejowy);50.3;20.66
Brodnica;53.263579651344116;19.405454324832593
Brodnica Targ;53.263000000000005;19.4056
Brodnica Wąskotorowa;53.263000000000005;19.4056
Brody Iłżeckie;51.021;21.2003
Brody Pomorskie;53.857;18.7575
Brody Warszawskie;52.51388879999999;20.74861111
Brodzkie Młyny;53.84;18.7898
Brojce (przystanek kolejowy);53.956;15.3667
Brokęcino;53.56245128135206;16.817785329648196
Broniszów (przystanek kolejowy);50.301;20.5156
Broniszów Kożuchowski;51.78;15.4861
Bronisław (przystanek kolejowy);52.629;18.1208
Bronowice (przystanek kolejowy);52.908;15.4964
Bronów;51.794958045359344;17.77406910333745
Bronów (stacja kolejowa);51.79638888;17.773333333
Bruchniewo;53.43977966026087;18.01067796553254
Bruchniewo (przystanek kolejowy);53.43899999999999;18.0131
Brusy;53.88246756528389;17.727984233985005
Brwice;52.90514696486865;14.535006551084726
Brwinów;52.14169190807468;20.7181365519682
Brzask;51.097;20.8044
Brzeg;50.853;17.4707
Brzeg Dolny;51.26683525952665;16.72540115440587
Brzesko;49.98680375367882;20.60894895339867
Brzesko Okocim;49.986000000000004;20.6117
Brzesko Pomorskie;53.13399999999999;15.0083
Brzeszcze;49.996261027398575;19.15584281059227
Brzeszcze Jawiszowice;49.97251879451226;19.128445445702
Brzeszcze Kopalnia;49.992;19.1456
Brzezie Dębicz;50.086999999999996;18.2589
